abs,frac
18,0.720000
18,0.720000
18,0.720000
18,0.720000
18,0.720000
2,0.086957
2,0.086957
4,0.160000
4,0.160000
4,0.160000
4,0.160000
2,0.086957
2,0.086957
4,0.160000
4,0.160000
4,0.160000
4,0.160000
4,0.173913
4,0.173913
4,0.173913
4,0.173913
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
2,0.076923
2,0.076923
2,0.086957
2,0.086957
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
2,0.083333
2,0.083333
1,0.043478
2,0.083333
2,0.083333
1,0.043478
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.185185
5,0.185185
5,0.185185
5,0.185185
5,0.185185
1,0.038462
2,0.086957
2,0.086957
4,0.160000
4,0.160000
4,0.160000
4,0.160000
4,0.166667
4,0.166667
4,0.166667
4,0.166667
4,0.173913
4,0.173913
4,0.173913
4,0.173913
2,0.083333
2,0.083333
1,0.043478
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
2,0.083333
2,0.083333
1,0.043478
2,0.083333
2,0.083333
1,0.043478
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
1,0.031250
1,0.031250
3,0.093750
1,0.031250
1,0.031250
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
5,0.156250
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
4,0.125000
2,0.062500
7,0.218750
7,0.218750
7,0.218750
7,0.218750
7,0.218750
2,0.062500
4,0.125000
1,0.031250
1,0.031250
3,0.093750
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
4,0.125000
3,0.093750
3,0.093750
3,0.093750
3,0.093750
5,0.156250
6,0.187500
3,0.093750
3,0.093750
3,0.093750
3,0.093750
5,0.156250
1,0.031250
1,0.031250
3,0.093750
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
2,0.062500
2,0.062500
2,0.062500
5,0.156250
5,0.156250
6,0.187500
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
6,0.187500
5,0.156250
2,0.062500
2,0.062500
2,0.062500
3,0.093750
2,0.062500
5,0.156250
5,0.156250
6,0.187500
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
2,0.062500
2,0.062500
2,0.062500
5,0.156250
5,0.156250
6,0.187500
2,0.062500
2,0.062500
2,0.062500
1,0.032258
1,0.031250
2,0.062500
1,0.031250
3,0.093750
3,0.093750
3,0.093750
3,0.093750
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
7,0.218750
6,0.187500
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
5,0.156250
4,0.125000
6,0.187500
7,0.218750
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
1,0.058824
1,0.058824
1,0.058824
4,0.210526
4,0.210526
4,0.210526
4,0.210526
2,0.095238
2,0.095238
2,0.095238
4,0.190476
4,0.190476
1,0.058824
4,0.210526
4,0.210526
4,0.210526
4,0.210526
6,0.352941
6,0.352941
6,0.352941
6,0.352941
6,0.352941
6,0.352941
6,0.352941
5,0.250000
5,0.250000
5,0.250000
5,0.250000
5,0.250000
5,0.250000
13,0.650000
13,0.650000
2,0.117647
2,0.117647
4,0.210526
4,0.210526
4,0.210526
4,0.210526
2,0.117647
2,0.117647
6,0.352941
6,0.352941
1,0.058824
1,0.058824
1,0.058824
1,0.058824
5,0.250000
5,0.250000
5,0.250000
5,0.250000
5,0.250000
5,0.250000
6,0.300000
2,0.117647
2,0.117647
2,0.117647
3,0.176471
5,0.250000
5,0.250000
5,0.250000
5,0.250000
5,0.250000
2,0.117647
2,0.117647
2,0.111111
2,0.111111
1,0.076923
1,0.076923
1,0.058824
1,0.058824
2,0.111111
2,0.111111
1,0.058824
1,0.058824
1,0.058824
2,0.111111
2,0.111111
1,0.058824
6,0.352941
6,0.352941
3,0.157895
3,0.157895
3,0.157895
3,0.157895
4,0.210526
1,0.052632
5,0.263158
5,0.263158
5,0.263158
5,0.263158
5,0.263158
5,0.263158
1,0.031250
1,0.031250
3,0.093750
1,0.031250
1,0.031250
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
5,0.156250
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
1,0.031250
1,0.031250
3,0.093750
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
3,0.093750
3,0.093750
3,0.093750
3,0.093750
5,0.156250
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
2,0.062500
2,0.062500
2,0.062500
5,0.156250
5,0.156250
6,0.187500
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
6,0.187500
5,0.156250
2,0.062500
2,0.062500
2,0.062500
3,0.093750
2,0.062500
5,0.156250
5,0.156250
6,0.187500
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
2,0.062500
2,0.062500
2,0.062500
5,0.156250
5,0.156250
6,0.187500
2,0.062500
2,0.062500
2,0.062500
1,0.031250
1,0.031250
3,0.093750
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
3,0.093750
3,0.093750
3,0.093750
4,0.125000
4,0.125000
4,0.125000
5,0.156250
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
6,0.187500
3,0.093750
3,0.093750
3,0.093750
4,0.125000
4,0.125000
4,0.125000
5,0.156250
3,0.093750
3,0.093750
3,0.093750
3,0.093750
4,0.125000
4,0.125000
4,0.125000
4,0.125000
4,0.125000
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
4,0.173913
4,0.173913
4,0.173913
4,0.173913
4,0.160000
4,0.160000
4,0.160000
4,0.160000
2,0.074074
2,0.074074
2,0.074074
4,0.148148
4,0.148148
4,0.148148
8,0.296296
8,0.296296
8,0.296296
8,0.296296
2,0.090909
2,0.090909
3,0.130435
3,0.130435
3,0.130435
2,0.083333
2,0.083333
3,0.120000
3,0.120000
3,0.120000
2,0.086957
2,0.086957
4,0.160000
4,0.160000
4,0.160000
4,0.160000
4,0.173913
4,0.173913
4,0.173913
4,0.173913
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
2,0.076923
2,0.076923
2,0.086957
2,0.086957
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
3,0.130435
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
2,0.083333
2,0.083333
1,0.043478
2,0.083333
2,0.083333
1,0.043478
4,0.166667
4,0.166667
4,0.166667
4,0.166667
3,0.130435
3,0.130435
3,0.130435
3,0.150000
3,0.150000
3,0.150000
3,0.150000
3,0.150000
3,0.150000
4,0.250000
4,0.250000
4,0.250000
4,0.250000
4,0.250000
4,0.200000
4,0.200000
4,0.200000
4,0.200000
4,0.200000
14,0.700000
14,0.700000
14,0.700000
4,0.200000
4,0.200000
4,0.200000
4,0.200000
4,0.173913
4,0.173913
4,0.173913
4,0.173913
3,0.130435
3,0.130435
3,0.130435
2,0.100000
2,0.100000
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.100000
2,0.100000
2,0.095238
2,0.095238
1,0.050000
2,0.095238
2,0.095238
1,0.050000
2,0.095238
2,0.095238
1,0.050000
1,0.050000
5,0.250000
5,0.250000
5,0.250000
5,0.250000
4,0.200000
4,0.200000
4,0.200000
4,0.200000
2,0.095238
2,0.095238
1,0.050000
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
8,0.421053
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
1,0.047619
1,0.055556
1,0.047619
7,0.333333
1,0.047619
1,0.047619
4,0.173913
4,0.173913
4,0.173913
4,0.173913
2,0.080000
2,0.080000
2,0.080000
4,0.160000
4,0.160000
1,0.047619
4,0.173913
4,0.173913
4,0.173913
4,0.173913
2,0.090909
2,0.090909
2,0.090909
5,0.227273
5,0.227273
5,0.227273
1,0.047619
4,0.173913
4,0.173913
4,0.173913
4,0.173913
15,0.600000
15,0.600000
